date,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million
2020-02-29,0.388,0.055,
2020-03-01,0.078,0.066,0.039
2020-03-02,0.116,0.083,0
2020-03-03,0.349,0.133,0
2020-03-04,0.504,0.205,0.039
2020-03-05,0.116,0.222,0
2020-03-06,0.194,0.249,0
2020-03-07,0.116,0.211,0
2020-03-08,0.504,0.271,0.039
2020-03-09,0.582,0.338,0
2020-03-10,0.62,0.377,0
2020-03-11,0.814,0.421,0
2020-03-13,2.792,0.776,0
2020-03-14,1.939,1.036,0
2020-03-15,1.823,1.224,0
2020-03-16,3.102,1.584,0
2020-03-17,2.908,1.911,0.078
2020-03-18,4.498,2.437,0.039
2020-03-19,4.382,3.063,0
2020-03-20,4.266,3.274,0.039
2020-03-21,10.858,4.548,0
2020-03-22,18.536,6.936,0
2020-03-23,5.157,7.229,0
2020-03-24,14.037,8.819,0.039
2020-03-25,12.409,9.949,0
2020-03-26,17.295,11.794,0.194
2020-03-27,12.913,13.029,0
2020-03-28,19.272,14.231,0.039
2020-03-29,13.339,13.489,0.078
2020-03-30,14.619,14.841,0.039
2020-03-31,7.678,13.932,0.039
2020-04-01,11.75,13.838,0.078
2020-04-02,9.849,12.774,0.155
2020-04-03,8.298,12.115,0.155
2020-04-04,8.531,10.581,0.078
2020-04-05,5.313,9.434,0.194
2020-04-06,4.266,7.955,0.194
2020-04-07,3.8,7.401,0.194
2020-04-08,4.459,6.359,0.194
2020-04-09,3.8,5.495,0.039
2020-04-10,4.149,4.903,0.116
2020-04-11,3.412,4.171,0.116
2020-04-12,0.465,3.479,0.116
2020-04-13,1.396,3.069,0.039
2020-04-14,2.482,2.881,0.039
2020-04-15,0.969,2.382,0.039
2020-04-16,0.853,1.961,0
2020-04-17,2.327,1.701,0.116
2020-04-18,1.784,1.468,0.039
2020-04-19,1.629,1.634,0
2020-04-20,0.504,1.507,0
2020-04-21,0.853,1.274,0
2020-04-22,0.271,1.174,0
2020-04-23,0.388,1.108,0.31
2020-04-24,0.582,0.859,0.155
2020-04-25,0.659,0.698,0.039
2020-04-26,0.776,0.576,0.116
