iso_code,continent,location,date,new_cases_per_million,new_cases_per_million_j,new_cases_per_million_uk,new_cases_j,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,iso_code_uk,continent_uk,location_uk,total_cases_uk,new_cases_uk,new_cases_smoothed_uk,total_deaths_uk,new_deaths_uk,new_deaths_smoothed_uk,total_cases_per_million_uk,new_cases_per_million_uk,new_cases_smoothed_per_million_uk,total_deaths_per_million_uk,new_deaths_per_million_uk,new_deaths_smoothed_per_million_uk,iso_code_j,continent_j,location_j,total_cases_j,new_cases_j,new_cases_smoothed_j,total_deaths_j,new_deaths_j,new_deaths_smoothed_j,total_cases_per_million_j,new_cases_smoothed_per_million_j,total_deaths_per_million_j,new_deaths_per_million_j,new_deaths_smoothed_per_million_j
AUS,Oceania,Australia,2020-03-11,0.814,0.436,6.026,55,128,21,10.857,3,0,0.143,4.964,0.421,0.116,0,0.006,GBR,Europe,United Kingdom,1298,411,150.429,7,0,1,19.03,6.026,2.205,0.103,0,0.015,JPN,Asia,Japan,640,55,43.857,15,2,1.143,5.077,0.348,0.119,0.016,0.009
AUS,Oceania,Australia,2020-03-13,2.792,0.294,7.023,37,200,72,20,3,0,0.143,7.755,0.776,0.116,0,0.006,GBR,Europe,United Kingdom,2266,479,270.429,10,1,1.286,33.222,7.023,3.965,0.147,0.015,0.019,JPN,Asia,Japan,733,37,44.714,21,2,2,5.815,0.355,0.167,0.016,0.016
AUS,Oceania,Australia,2020-03-14,1.939,0.492,5.337,62,250,50,26.714,3,0,0.143,9.694,1.036,0.116,0,0.006,GBR,Europe,United Kingdom,2630,364,314.571,29,19,3.857,38.559,5.337,4.612,0.425,0.279,0.057,JPN,Asia,Japan,795,62,47,22,1,2.143,6.307,0.373,0.175,0.008,0.017
AUS,Oceania,Australia,2020-03-15,1.823,0.246,6.48,31,297,47,31.571,3,0,0,11.517,1.224,0.116,0,0,GBR,Europe,United Kingdom,3072,442,370,43,14,5.857,45.039,6.48,5.425,0.63,0.205,0.086,JPN,Asia,Japan,826,31,46.714,24,2,2.286,6.553,0.371,0.19,0.016,0.018
AUS,Oceania,Australia,2020-03-16,3.102,0.135,8.973,17,377,80,40.857,3,0,0,14.619,1.584,0.116,0,0,GBR,Europe,United Kingdom,3684,612,436.429,65,22,8.857,54.012,8.973,6.399,0.953,0.323,0.13,JPN,Asia,Japan,843,17,45.143,30,6,2.857,6.688,0.358,0.238,0.048,0.023
AUS,Oceania,Australia,2020-03-17,2.908,0.397,11.26,50,452,75,49.286,5,2,0.286,17.527,1.911,0.194,0.078,0.011,GBR,Europe,United Kingdom,4452,768,509.286,82,17,10.714,65.272,11.26,7.467,1.202,0.249,0.157,JPN,Asia,Japan,893,50,44,30,0,2.429,7.084,0.349,0.238,0,0.019
AUS,Oceania,Australia,2020-03-18,4.498,0.278,14.647,35,568,116,62.857,6,1,0.429,22.026,2.437,0.233,0.039,0.017,GBR,Europe,United Kingdom,5451,999,593.286,116,34,15.571,79.918,14.647,8.698,1.701,0.498,0.228,JPN,Asia,Japan,928,35,41.143,32,2,2.429,7.362,0.326,0.254,0.016,0.019
AUS,Oceania,Australia,2020-03-19,4.382,0.317,15.468,40,681,113,79,6,0,0.429,26.407,3.063,0.233,0,0.017,GBR,Europe,United Kingdom,6506,1055,674.143,162,46,21.857,95.386,15.468,9.884,2.375,0.674,0.32,JPN,Asia,Japan,968,40,38.857,33,1,2,7.679,0.308,0.262,0.008,0.016
AUS,Oceania,Australia,2020-03-20,4.266,0.428,18.385,54,791,110,84.429,7,1,0.571,30.673,3.274,0.271,0.039,0.022,GBR,Europe,United Kingdom,7760,1254,784.857,194,32,26.286,113.771,18.385,11.507,2.844,0.469,0.385,JPN,Asia,Japan,1022,54,41.286,34,1,1.857,8.108,0.328,0.27,0.008,0.015
AUS,Oceania,Australia,2020-03-21,10.858,0.294,17.549,37,1071,280,117.286,7,0,0.571,41.531,4.548,0.271,0,0.022,GBR,Europe,United Kingdom,8957,1197,903.857,252,58,31.857,131.321,17.549,13.252,3.695,0.85,0.467,JPN,Asia,Japan,1059,37,37.714,36,2,2,8.401,0.299,0.286,0.016,0.016
AUS,Oceania,Australia,2020-03-22,18.536,0.357,20.687,45,1549,478,178.857,7,0,0.571,60.066,6.936,0.271,0,0.022,GBR,Europe,United Kingdom,10368,1411,1042.286,288,36,35,152.008,20.687,15.281,4.222,0.528,0.513,JPN,Asia,Japan,1104,45,39.714,40,4,2.286,8.758,0.315,0.317,0.032,0.018
AUS,Oceania,Australia,2020-03-23,5.157,0.317,34.293,40,1682,133,186.429,7,0,0.571,65.224,7.229,0.271,0,0.022,GBR,Europe,United Kingdom,12707,2339,1289,364,76,42.714,186.3,34.293,18.898,5.337,1.114,0.626,JPN,Asia,Japan,1144,40,43,41,1,1.571,9.076,0.341,0.325,0.008,0.012
AUS,Oceania,Australia,2020-03-24,14.037,0.579,34.908,73,2044,362,227.429,8,1,0.429,79.261,8.819,0.31,0.039,0.017,GBR,Europe,United Kingdom,15088,2381,1519.429,512,148,61.429,221.209,34.908,22.277,7.507,2.17,0.901,JPN,Asia,Japan,1217,73,46.286,42,1,1.714,9.655,0.367,0.333,0.008,0.014
AUS,Oceania,Australia,2020-03-25,12.409,0.77,39.497,97,2364,320,256.571,8,0,0.286,91.67,9.949,0.31,0,0.011,GBR,Europe,United Kingdom,17782,2694,1761.571,703,191,83.857,260.706,39.497,25.827,10.307,2.8,1.229,JPN,Asia,Japan,1314,97,55.143,45,3,1.857,10.424,0.437,0.357,0.024,0.015
