iso_code,continent,location,date,new_deaths_per_million,new_deaths_per_million_uk,new_deaths_per_million_j,total_deaths_per_million,total_deaths_per_million_uk,total_deaths_per_million_j,new_cases_per_million,new_cases_per_million_j,new_cases_per_million_uk,new_cases_j,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,iso_code_uk,continent_uk,location_uk,total_cases_uk,new_cases_uk,new_cases_smoothed_uk,total_deaths_uk,new_deaths_uk,new_deaths_smoothed_uk,total_cases_per_million_uk,new_cases_per_million_uk,new_cases_smoothed_per_million_uk,total_deaths_per_million_uk,new_deaths_per_million_uk,new_deaths_smoothed_per_million_uk,iso_code_j,continent_j,location_j,total_cases_j,new_cases_j,new_cases_smoothed_j,total_deaths_j,new_deaths_j,new_deaths_smoothed_j,total_cases_per_million_j,new_cases_smoothed_per_million_j,total_deaths_per_million_j,new_deaths_per_million_j,new_deaths_smoothed_per_million_j
AUS,Oceania,Australia,2020-03-17,0.078,0.249,0,0.194,1.202,0.238,2.908,0.397,11.26,50,452,75,49.286,5,2,0.286,17.527,1.911,0.194,0.078,0.011,GBR,Europe,United Kingdom,4452,768,509.286,82,17,10.714,65.272,11.26,7.467,1.202,0.249,0.157,JPN,Asia,Japan,893,50,44,30,0,2.429,7.084,0.349,0.238,0,0.019
AUS,Oceania,Australia,2020-03-18,0.039,0.498,0.016,0.233,1.701,0.254,4.498,0.278,14.647,35,568,116,62.857,6,1,0.429,22.026,2.437,0.233,0.039,0.017,GBR,Europe,United Kingdom,5451,999,593.286,116,34,15.571,79.918,14.647,8.698,1.701,0.498,0.228,JPN,Asia,Japan,928,35,41.143,32,2,2.429,7.362,0.326,0.254,0.016,0.019
AUS,Oceania,Australia,2020-03-20,0.039,0.469,0.008,0.271,2.844,0.27,4.266,0.428,18.385,54,791,110,84.429,7,1,0.571,30.673,3.274,0.271,0.039,0.022,GBR,Europe,United Kingdom,7760,1254,784.857,194,32,26.286,113.771,18.385,11.507,2.844,0.469,0.385,JPN,Asia,Japan,1022,54,41.286,34,1,1.857,8.108,0.328,0.27,0.008,0.015
AUS,Oceania,Australia,2020-03-24,0.039,2.17,0.008,0.31,7.507,0.333,14.037,0.579,34.908,73,2044,362,227.429,8,1,0.429,79.261,8.819,0.31,0.039,0.017,GBR,Europe,United Kingdom,15088,2381,1519.429,512,148,61.429,221.209,34.908,22.277,7.507,2.17,0.901,JPN,Asia,Japan,1217,73,46.286,42,1,1.714,9.655,0.367,0.333,0.008,0.014
AUS,Oceania,Australia,2020-03-26,0.194,2.654,0.016,0.504,12.961,0.373,17.295,0.809,45.274,102,2810,446,304.143,13,5,1,108.964,11.794,0.504,0.194,0.039,GBR,Europe,United Kingdom,20870,3088,2052,884,181,103.143,305.98,45.274,30.085,12.961,2.654,1.512,JPN,Asia,Japan,1416,102,64,47,2,2,11.234,0.508,0.373,0.016,0.016
AUS,Oceania,Australia,2020-03-28,0.039,4.281,0.024,0.543,21.479,0.444,19.272,1.571,41.638,198,3640,497,367,14,1,1,141.15,14.231,0.543,0.039,0.039,GBR,Europe,United Kingdom,26929,2840,2567.429,1465,292,173.286,394.812,41.638,37.642,21.479,4.281,2.541,JPN,Asia,Japan,1728,198,95.571,56,3,2.857,13.709,0.758,0.444,0.024,0.023
AUS,Oceania,Australia,2020-03-29,0.078,3.108,0.056,0.62,24.587,0.5,13.339,1.42,42.078,179,3984,344,347.857,16,2,1.286,154.489,13.489,0.62,0.078,0.05,GBR,Europe,United Kingdom,29799,2870,2775.857,1677,212,198.429,436.89,42.078,40.697,24.587,3.108,2.909,JPN,Asia,Japan,1907,179,114.714,63,7,3.286,15.129,0.91,0.5,0.056,0.026
AUS,Oceania,Australia,2020-03-30,0.039,5.513,0.016,0.659,30.099,0.516,14.619,0.746,62.765,94,4361,377,382.714,17,1,1.429,169.108,14.841,0.659,0.039,0.055,GBR,Europe,United Kingdom,34080,4281,3053.286,2053,376,241.286,499.655,62.765,44.765,30.099,5.513,3.538,JPN,Asia,Japan,2001,94,122.429,65,2,3.429,15.875,0.971,0.516,0.016,0.027
AUS,Oceania,Australia,2020-03-31,0.039,5.908,0.016,0.698,36.008,0.532,7.678,2.015,66.239,254,4559,198,359.286,18,1,1.429,176.786,13.932,0.698,0.039,0.055,GBR,Europe,United Kingdom,38598,4518,3358.571,2456,403,277.714,565.894,66.239,49.241,36.008,5.908,4.072,JPN,Asia,Japan,2255,254,148.286,67,2,3.571,17.89,1.176,0.532,0.016,0.028
AUS,Oceania,Australia,2020-04-01,0.078,9.852,0.04,0.776,45.86,0.571,11.75,2.221,72.397,280,4862,303,356.857,20,2,1.714,188.536,13.838,0.776,0.078,0.066,GBR,Europe,United Kingdom,43536,4938,3679.143,3128,672,346.429,638.291,72.397,53.941,45.86,9.852,5.079,JPN,Asia,Japan,2535,280,174.429,72,5,3.857,20.111,1.384,0.571,0.04,0.031
