date,million,new
2020-01-31,2,0.029
2020-02-03,8,0.088
2020-02-05,9,0.015
2020-02-08,13,0.059
2020-02-09,14,0.015
2020-02-11,15,0.015
2020-02-12,16,0.015
2020-02-13,17,0.015
2020-02-14,18,0.015
2020-02-17,19,0.015
2020-02-19,20,0.015
2020-02-20,22,0.029
2020-02-21,23,0.015
2020-02-23,28,0.073
2020-02-24,30,0.029
2020-02-25,34,0.059
2020-02-26,37,0.044
2020-02-27,44,0.103
2020-02-28,56,0.176
2020-02-29,61,0.073
2020-03-01,94,0.484
2020-03-02,134,0.586
2020-03-03,189,0.806
2020-03-04,245,0.821
2020-03-05,294,0.718
2020-03-06,373,1.158
2020-03-07,428,0.806
2020-03-08,482,0.792
2020-03-09,629,2.155
2020-03-10,887,3.783
2020-03-11,1298,6.026
2020-03-12,1787,7.169
2020-03-13,2266,7.023
2020-03-14,2630,5.337
2020-03-15,3072,6.48
2020-03-16,3684,8.973
2020-03-17,4452,11.26
2020-03-18,5451,14.647
2020-03-19,6506,15.468
2020-03-20,7760,18.385
2020-03-21,8957,17.549
2020-03-22,10368,20.687
2020-03-23,12707,34.293
2020-03-24,15088,34.908
2020-03-25,17782,39.497
2020-03-26,20870,45.274
2020-03-27,24089,47.194
2020-03-28,26929,41.638
2020-03-29,29799,42.078
2020-03-30,34080,62.765
2020-03-31,38598,66.239
2020-04-01,43536,72.397
2020-04-02,48432,71.781
2020-04-03,53356,72.192
2020-04-04,57427,59.686
2020-04-05,61038,52.942
2020-04-06,66367,78.13
2020-04-07,71827,80.05
2020-04-08,76979,75.535
2020-04-09,81847,71.371
2020-04-10,86171,63.395
2020-04-11,89772,52.795
2020-04-12,93288,51.549
2020-04-13,97480,61.46
2020-04-14,101820,63.63
2020-04-15,106894,74.391
2020-04-16,112197,77.748
2020-04-17,117170,72.91
2020-04-18,121895,69.274
2020-04-19,125758,56.636
2020-04-20,130627,71.386
2020-04-21,135391,69.846
2020-04-22,140884,80.534
2020-04-23,146035,75.52
2020-04-24,151009,72.925
2020-04-25,154778,55.258
2020-04-26,158248,50.874
2020-04-27,162953,68.981
2020-04-28,167676,69.245
2020-04-29,173113,79.713
2020-04-30,178074,72.734
2020-05-01,182807,69.392
2020-05-02,186029,47.238
2020-05-03,189003,43.602
2020-05-04,192382,49.54
2020-05-05,196067,54.027
2020-05-06,199899,56.182
2020-05-07,203666,55.229
2020-05-08,206715,44.702
2020-05-09,208865,31.522
2020-05-10,211186,34.029
2020-05-11,214769,52.531
2020-05-12,218161,49.731
2020-05-13,221459,48.353
2020-05-14,224069,38.266
2020-05-15,226586,36.902
2020-05-16,228651,30.275
2020-05-17,230477,26.771
2020-05-18,233051,37.738
2020-05-19,236097,44.658
2020-05-20,238804,39.688
2020-05-21,241346,37.269
2020-05-22,243379,29.806
2020-05-23,244886,22.094
2020-05-24,246234,19.763
2020-05-25,247841,23.561
2020-05-26,249491,24.191
2020-05-27,251294,26.434
2020-05-28,253028,25.423
2020-05-29,254533,22.065
2020-05-30,255632,16.113
2020-05-31,256701,15.673
2020-06-01,258135,21.024
2020-06-02,259602,21.508
2020-06-03,260944,19.675
2020-06-04,262178,18.092
2020-06-05,263284,16.215
2020-06-06,264075,11.597
2020-06-07,264792,10.512
2020-06-08,265880,15.951
2020-06-09,267033,16.904
2020-06-10,268217,17.359
2020-06-11,269218,14.676
2020-06-12,270271,15.438
2020-06-13,271158,13.005
2020-06-14,271965,11.832
2020-06-15,272991,15.042
2020-06-16,274068,15.79
2020-06-17,275068,14.661
2020-06-18,276088,14.954
2020-06-19,277070,14.397
2020-06-20,277736,9.764
2020-06-21,278358,9.119
2020-06-22,279250,13.078
2020-06-23,280132,12.931
2020-06-24,280906,11.348
2020-06-25,281603,10.219
2020-06-26,282243,9.383
2020-06-27,282876,9.281
2020-06-28,283271,5.791
2020-06-29,283875,8.855
2020-06-30,284278,5.908
2020-07-01,284338,0.88
2020-07-02,284342,0.059
2020-07-03,284844,7.36
2020-07-04,285468,9.149
2020-07-05,285984,7.565
2020-07-06,286336,5.161
2020-07-07,286917,8.518
2020-07-08,287552,9.31
2020-07-09,288194,9.413
2020-07-10,288706,7.507
2020-07-11,289526,12.022
2020-07-12,290176,9.53
2020-07-13,290706,7.77
2020-07-14,291950,18.239
2020-07-15,292488,7.888
2020-07-16,293129,9.398
2020-07-17,293816,10.072
2020-07-18,294645,12.154
2020-07-19,295371,10.644
2020-07-20,295951,8.504
2020-07-21,296396,6.524
2020-07-22,296956,8.21
2020-07-23,297725,11.274
2020-07-24,298493,11.26
2020-07-25,299260,11.245
2020-07-26,300006,10.937
2020-07-27,300691,10.043
2020-07-28,301238,8.02
2020-07-29,302037,11.714
2020-07-30,302884,12.418
2020-07-31,303764,12.902
2020-08-01,304525,11.157
2020-08-02,305268,10.893
2020-08-03,306207,13.767
2020-08-04,306877,9.823
2020-08-05,307771,13.107
2020-08-06,308721,13.928
2020-08-07,309593,12.785
2020-08-08,310352,11.128
2020-08-09,311414,15.57
2020-08-10,312232,11.993
2020-08-11,313380,16.831
2020-08-12,314389,14.793
2020-08-13,315520,16.582
2020-08-14,316962,21.141
2020-08-15,317977,14.881
2020-08-16,319084,16.23
2020-08-17,319797,10.453
2020-08-18,320888,15.995
2020-08-19,321701,11.92
2020-08-20,322884,17.344
2020-08-21,323919,15.174
